Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"St. Joseph village, Illinois",66950,17,3888,94158,36894,5.4,27.6,619,54.3,97.2,0.1,0.2,3.5,0.0,1.0,1.3,95.0,2.9,1431,1227,194600,1571,779,710,1431,2.71,92.4,4.5,98.0,95.6,99.0,33.5,10.7,3.7,67.2,62.4,23.6,7.5
"St. Libory village, Illinois",66989,17,643,81719,38963,5.3,17.3,150,46.7,99.5,0.0,0.0,0.0,0.5,0.0,1.2,98.8,0.3,321,241,139900,1172,504,775,281,2.29,92.1,1.8,97.2,81.5,97.0,21.2,6.3,4.2,66.7,69.1,29.5,3.4
"St. Peter village, Illinois",67132,17,370,56000,24514,6.2,28.6,64,49.7,100.0,0.0,1.1,0.0,0.0,1.1,0.0,98.9,0.0,140,117,80500,829,419,542,128,2.89,91.0,1.2,89.1,84.4,94.9,14.0,7.5,12.4,56.8,48.9,26.1,11.6
"St. Rose village, Illinois",67158,17,563,88125,38119,4.4,28.4,87,51.5,99.6,0.2,0.0,1.4,0.0,1.2,0.0,98.4,0.4,212,195,163400,1375,544,888,208,2.71,93.2,1.7,84.6,83.2,92.9,22.4,20.9,3.4,74.5,75.4,27.1,2.0
"Salem city, Illinois",67236,17,7269,51559,28160,6.5,24.5,1320,54.1,95.8,5.6,0.2,0.6,0.1,2.8,0.4,92.8,0.1,3256,1885,80800,946,479,691,2980,2.37,86.4,0.7,90.9,84.0,92.3,14.4,11.1,8.5,63.9,60.5,12.6,20.7
"Sammons Point village, Illinois",67372,17,196,53750,26713,8.7,20.4,33,49.5,96.4,4.1,0.5,2.0,0.0,4.6,10.7,86.7,3.6,79,57,163300,1339,625,1200,70,2.80,82.4,4.5,95.7,90.0,89.7,7.6,8.1,13.3,64.2,69.0,26.1,14.8
"Sandoval village, Illinois",67444,17,1087,37031,18217,5.0,24.7,158,50.5,97.7,2.1,2.7,0.3,0.0,8.7,5.3,88.0,0.1,514,302,48400,786,361,563,439,2.48,79.5,1.1,91.3,86.1,72.7,6.2,15.2,6.3,50.7,49.7,19.2,27.8
"Sandwich city, Illinois",67548,17,7182,75115,31825,7.1,25.1,1251,51.3,94.1,0.1,0.3,1.2,0.0,0.4,11.1,87.4,5.5,2718,1829,187000,1561,623,1017,2606,2.69,84.7,10.3,93.5,90.5,91.8,20.2,9.1,3.7,66.6,59.4,30.8,8.4
"San Jose village, Illinois",67613,17,539,59318,28348,3.2,19.3,77,54.7,96.8,2.2,0.9,2.8,0.0,3.3,2.8,91.3,0.0,254,206,61400,963,541,750,232,2.32,88.0,0.6,94.8,90.5,92.0,15.9,17.0,0.0,65.9,60.2,27.8,5.8
"Sauget village, Illinois",67756,17,189,59583,46642,1.6,9.0,54,41.3,96.8,5.3,1.6,1.6,0.0,5.3,0.0,91.5,0.5,111,46,48800,1250,443,629,99,1.91,99.5,0.5,97.0,69.7,89.0,3.4,44.1,24.9,46.5,43.7,11.8,11.1
"Sauk Village village, Illinois",67769,17,9981,48877,19969,7.9,27.7,976,53.4,26.5,72.5,3.2,0.7,0.2,6.4,11.1,19.7,4.7,3908,1761,70300,1228,488,1274,3161,3.14,87.2,6.4,93.2,87.7,91.8,18.1,18.2,10.3,65.1,62.0,32.5,27.6
"Savanna city, Illinois",67821,17,3102,42713,26288,2.7,21.1,781,55.6,96.2,6.8,0.7,1.3,0.0,11.6,8.2,83.0,4.7,1657,845,67300,954,441,638,1373,2.22,93.6,7.1,89.9,86.8,79.7,15.8,14.3,8.5,48.8,36.7,19.5,10.3
"Savoy village, Illinois",67860,17,8793,78584,42523,6.1,21.4,1700,56.7,82.0,6.0,0.2,14.2,0.0,4.6,4.7,75.3,14.7,3827,1981,238600,1809,697,939,3461,2.51,89.8,18.8,94.9,85.1,96.2,58.5,5.9,2.2,62.1,58.9,16.0,11.5
"Sawyerville village, Illinois",67873,17,210,38750,22912,10.0,25.7,46,55.2,97.1,0.0,1.4,2.4,0.0,2.4,1.4,94.8,2.4,130,63,82500,1050,608,788,82,2.56,86.6,4.8,74.4,73.2,91.4,17.1,23.6,3.8,54.3,52.3,41.3,18.1
"Saybrook village, Illinois",67912,17,688,52273,25274,4.7,26.0,148,54.9,98.8,1.5,0.0,0.0,0.0,1.5,1.7,96.8,0.9,336,249,87200,942,377,635,286,2.41,91.6,1.4,90.9,86.4,91.7,13.9,20.8,3.3,53.2,51.7,32.3,13.4
"Scales Mound village, Illinois",67925,17,445,58611,31656,11.7,24.9,112,47.2,97.3,2.2,0.7,0.0,0.4,1.8,1.1,95.5,0.7,203,140,128800,1228,435,695,182,2.45,92.5,1.3,94.0,91.2,94.3,13.7,9.9,3.8,61.6,56.5,31.0,5.4
"Schaumburg village, Illinois",68003,17,78053,85147,44170,6.7,22.9,12011,51.5,63.9,7.1,1.1,25.7,0.0,6.0,10.9,55.8,30.6,34053,19934,272500,1889,782,1548,32417,2.40,87.2,38.9,96.7,94.0,95.7,50.3,4.4,5.9,70.3,62.6,29.2,6.0
"Schiller Park village, Illinois",68081,17,11680,59420,28488,5.8,24.8,1781,48.0,74.5,1.7,0.0,8.8,0.0,3.8,29.0,60.5,48.3,4580,2396,230400,1663,686,1166,4299,2.72,95.8,66.2,90.2,78.8,83.0,28.2,3.1,12.9,69.8,62.4,26.8,11.0
"Schram City village, Illinois",68120,17,539,41932,28921,6.7,16.0,130,57.9,97.0,1.1,0.0,0.0,0.0,0.4,1.9,96.7,2.2,315,170,74800,965,360,632,257,2.05,85.6,2.2,85.6,82.5,84.2,15.1,16.4,4.8,50.2,48.7,25.1,13.4
"Seatonville village, Illinois",68471,17,401,42209,30208,7.5,19.2,123,50.9,94.3,5.5,0.0,10.2,2.0,19.0,3.5,75.8,3.5,195,158,85600,808,369,622,186,2.16,87.5,6.2,88.2,87.6,87.9,7.6,14.9,4.0,58.1,69.0,16.3,14.5
"Secor village, Illinois",68510,17,257,56667,26216,5.1,19.5,45,56.0,97.3,1.2,3.1,1.6,0.0,7.4,5.8,89.5,1.2,132,95,84000,1006,338,900,108,2.38,85.6,2.9,87.0,85.2,90.9,15.1,18.5,7.0,67.9,64.5,29.0,13.5
"Seneca village, Illinois",68640,17,2648,85294,38578,9.4,27.7,290,51.7,96.8,3.0,0.5,2.4,0.0,5.2,8.0,88.0,1.4,1026,784,169900,1404,571,860,966,2.74,93.3,1.9,95.1,92.8,94.8,16.9,5.2,3.1,65.2,65.5,28.7,18.2
"Sesser city, Illinois",68705,17,1829,57933,25554,4.0,24.2,326,52.4,96.6,1.0,0.0,4.8,0.0,3.1,3.4,91.4,2.8,873,576,75200,912,391,616,713,2.57,91.4,3.2,91.2,79.0,90.5,14.3,15.3,4.2,55.6,62.4,31.9,10.6
"Shabbona village, Illinois",68822,17,881,58864,32438,4.4,14.4,260,53.1,94.7,2.0,0.0,1.6,0.0,1.9,4.0,92.4,3.0,419,255,159800,1467,695,756,368,2.20,91.7,3.6,88.3,76.4,94.6,16.2,19.1,4.1,55.5,49.3,27.0,7.8
"Shannon village, Illinois",68991,17,786,57386,31992,5.6,20.4,215,54.1,97.8,0.9,0.0,2.2,0.4,2.4,4.3,92.2,0.0,379,290,101900,1027,510,539,339,2.32,93.6,1.6,85.3,82.3,94.9,15.2,7.8,3.1,59.5,56.7,25.5,6.2
"Shawneetown city, Illinois",69082,17,1246,37500,22930,4.7,24.4,291,51.2,99.2,0.8,0.0,0.0,0.0,2.2,4.7,95.3,0.0,576,300,72400,977,381,466,490,2.53,96.0,3.5,77.6,69.6,84.3,14.2,11.7,2.2,52.3,47.0,26.1,26.6
"Sheffield village, Illinois",69147,17,825,63750,30991,6.9,21.7,161,52.0,98.9,1.1,0.2,0.0,0.0,3.5,3.2,92.2,0.0,408,267,84100,1096,367,808,334,2.47,85.4,2.9,94.6,82.6,89.9,14.7,10.7,10.5,63.6,58.5,23.8,10.4
"Shelbyville city, Illinois",69186,17,4053,51061,29025,4.9,18.8,1034,55.6,99.3,0.7,0.0,0.0,0.0,0.9,1.0,98.3,0.2,2202,1252,82900,997,345,629,1912,2.04,91.6,1.6,83.6,80.5,88.1,15.0,12.2,3.9,60.6,56.5,17.8,11.2
"Sheldon village, Illinois",69212,17,1276,41118,27654,6.5,19.9,198,48.8,98.7,3.8,2.2,1.1,0.0,4.0,0.5,94.2,0.0,592,400,67600,816,426,721,569,2.20,91.2,0.8,93.1,74.0,80.9,9.1,20.4,10.3,68.2,65.3,21.6,17.2
"Sheridan village, Illinois",69277,17,2744,73029,11887,1.9,8.5,82,17.7,61.2,39.4,1.1,0.0,0.0,3.1,10.0,52.1,0.3,424,328,156900,1188,487,847,404,2.36,68.9,8.1,95.3,74.3,69.5,2.7,10.4,11.0,20.8,54.7,40.4,12.2
"Sherman village, Illinois",69342,17,4061,132500,56319,3.2,19.4,890,56.2,93.4,7.8,0.0,0.0,0.0,1.3,4.3,87.8,0.4,1572,1401,249800,1975,686,1009,1572,2.51,90.7,0.9,96.9,92.9,98.6,48.3,1.9,0.0,68.2,63.1,18.9,0.3
"Sherrard village, Illinois",69368,17,690,74464,32500,1.9,17.8,116,46.4,93.6,0.3,1.2,0.0,0.0,3.6,9.6,89.0,3.8,267,214,114700,1045,534,715,257,2.68,91.1,8.3,89.9,90.7,94.1,11.4,12.2,5.9,62.2,61.6,25.6,1.9
"Shiloh village, Illinois",69524,17,13638,86292,42942,3.5,21.6,2009,51.1,71.7,28.4,1.9,2.4,0.0,6.3,6.1,63.8,3.7,5900,3431,220400,1835,740,992,5332,2.45,88.3,6.7,95.2,90.4,97.1,38.3,7.3,3.6,71.3,67.2,25.8,9.4
"Shipman town, Illinois",69563,17,678,52708,20511,7.1,30.8,106,47.9,100.0,0.0,2.7,0.0,0.0,2.7,1.5,95.9,0.0,248,157,89700,1052,422,686,215,3.15,94.2,0.3,89.8,81.9,92.2,21.4,11.6,4.9,49.7,41.3,33.3,8.2
"Shorewood village, Illinois",69758,17,17947,111560,42826,4.6,23.3,3407,47.9,86.8,7.8,0.2,4.6,0.0,5.2,9.3,77.0,5.9,6679,5857,273100,2191,831,1638,6365,2.82,93.2,10.3,95.3,94.0,95.3,38.5,5.0,1.9,64.1,56.9,28.8,3.0
"Shumway village, Illinois",69797,17,167,67500,25369,7.8,22.2,32,47.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.6,68,59,81700,915,375,850,64,2.61,93.8,0.6,89.1,76.6,96.6,13.6,12.2,19.2,68.7,69.1,17.6,7.5
"Sibley village, Illinois",69810,17,176,56667,31970,8.0,14.2,50,56.3,100.0,0.0,0.6,0.6,0.0,1.7,1.1,97.2,0.0,125,84,72500,779,338,675,94,1.87,84.1,0.0,92.6,80.9,94.9,10.2,19.8,10.2,52.0,43.8,24.0,8.0
"Sidell village, Illinois",69836,17,526,61250,23621,10.3,21.3,115,55.9,99.6,0.0,1.1,0.4,0.0,1.1,2.1,96.4,0.8,204,169,62300,793,281,625,185,2.84,97.5,2.8,84.9,83.2,89.5,8.5,11.4,5.9,48.9,46.5,35.6,5.7
"Sidney village, Illinois",69875,17,1040,74943,35160,8.9,26.6,162,50.9,98.9,2.5,0.6,0.3,0.0,2.4,1.3,95.4,0.0,450,344,150700,1220,550,932,414,2.51,87.6,0.2,97.6,89.4,95.0,25.8,16.3,3.5,71.1,66.0,25.5,4.4
"Sigel town, Illinois",69914,17,416,80833,27566,15.6,30.8,71,52.9,100.0,0.0,0.2,0.0,0.0,0.5,0.2,99.5,0.2,155,122,136800,882,564,913,138,3.01,95.4,2.3,89.1,88.4,92.8,20.8,14.7,1.9,64.1,65.5,24.1,2.9
"Silvis city, Illinois",69979,17,7942,63008,34089,5.9,21.4,1700,50.3,88.8,8.6,2.5,3.7,0.3,6.4,14.5,72.8,7.0,4266,2054,139000,1203,620,850,3859,2.06,89.6,11.3,90.4,80.3,92.4,18.9,8.9,4.9,59.0,53.4,20.6,15.1
"Skokie village, Illinois",70122,17,67444,80543,39196,6.9,23.1,13714,52.1,60.5,11.1,0.9,29.3,0.3,6.5,11.0,49.9,37.0,25419,17418,334900,2293,938,1287,24067,2.77,91.5,49.0,94.8,90.2,91.8,49.4,6.9,7.1,61.8,57.0,28.3,9.1
"Sleepy Hollow village, Illinois",70161,17,3234,127545,56964,3.2,18.0,592,50.0,87.7,3.1,1.1,2.2,0.2,3.3,14.3,80.0,9.3,1160,1072,310600,2359,1059,1118,1141,2.83,94.3,17.3,97.1,93.8,94.7,43.8,12.5,6.3,64.7,55.4,29.5,2.8
"Smithton village, Illinois",70252,17,4192,99279,42576,5.0,23.0,789,50.5,97.5,2.7,0.5,0.0,0.0,0.9,0.7,96.5,1.9,1617,1382,203400,1683,625,780,1559,2.65,92.2,0.7,93.5,94.7,97.2,37.0,6.4,2.3,71.9,67.9,29.9,2.5
"Somonauk village, Illinois",70460,17,1757,72500,36255,5.9,25.3,314,52.8,96.6,1.7,0.6,0.3,0.3,1.7,5.7,91.5,1.8,708,464,181900,1638,656,950,662,2.65,90.6,2.2,93.1,91.4,95.6,19.0,7.7,1.9,64.2,61.2,32.3,7.3
"Sorento village, Illinois",70525,17,509,35417,17858,3.5,18.9,107,55.8,96.7,0.4,0.4,2.0,0.0,0.8,2.9,93.1,2.2,252,160,44000,773,313,488,194,2.62,93.5,3.1,83.5,77.3,84.9,6.2,27.1,10.8,49.9,49.8,47.4,21.4
"South Beloit city, Illinois",70590,17,7943,65218,28572,8.8,27.1,890,49.4,94.3,7.2,0.7,0.4,0.0,4.9,6.0,85.9,4.4,3465,2317,128400,1253,586,846,3197,2.46,92.2,7.4,94.1,91.6,88.8,18.7,10.3,11.1,69.1,59.9,26.9,10.9
"South Chicago Heights village, Illinois",70629,17,4022,45119,20166,12.4,34.5,604,57.0,43.6,34.9,0.7,0.0,0.0,4.8,34.9,29.4,11.0,1666,1026,106800,1565,577,1024,1556,2.53,91.6,30.3,86.6,79.8,83.6,12.5,13.6,10.4,58.2,54.7,26.2,17.4
"South Elgin village, Illinois",70720,17,23749,112115,46005,4.0,23.4,2549,48.7,79.8,6.1,0.8,9.3,0.1,6.2,22.1,61.9,14.7,8209,6576,257700,1983,731,1538,8017,2.93,89.9,24.6,96.7,93.2,89.6,37.4,6.5,6.3,74.5,68.1,29.5,6.0
"Southern View village, Illinois",70759,17,1642,47244,27930,1.8,16.0,370,55.0,96.8,4.6,0.7,1.9,0.3,6.0,7.3,87.3,2.1,797,531,89100,905,408,1021,732,2.10,87.5,9.4,93.2,80.5,88.6,18.7,14.0,3.7,63.0,57.0,14.4,19.4
"South Holland village, Illinois",70850,17,21524,72345,30492,4.8,23.5,3645,54.4,14.1,83.1,0.4,0.7,0.0,1.8,5.0,11.0,5.7,7826,6071,161200,1725,720,1701,7383,2.85,91.0,9.5,93.6,92.0,92.1,26.8,9.4,7.1,60.9,59.6,36.3,13.6
"South Jacksonville village, Illinois",70889,17,3235,55526,30350,3.6,20.2,849,53.8,94.8,7.7,0.6,0.5,0.0,5.4,1.8,89.5,0.6,1714,976,121200,1104,440,680,1574,2.06,88.4,3.0,89.5,82.5,92.8,25.8,10.4,3.0,59.8,55.3,17.3,8.8
"South Pekin village, Illinois",71175,17,1005,59792,22907,7.2,31.7,128,49.8,100.0,0.7,0.1,0.0,0.0,0.8,0.6,98.6,0.6,366,275,84300,1076,386,813,349,2.88,95.6,2.4,90.5,84.8,86.2,4.0,8.6,5.3,65.5,67.6,21.5,12.0
"South Roxana village, Illinois",71240,17,2121,44679,22234,5.6,25.6,288,52.5,97.3,4.8,2.5,0.0,0.0,6.6,4.5,88.6,1.9,888,540,80400,955,583,722,787,2.70,90.3,6.3,91.2,89.8,86.5,4.1,12.4,10.5,64.2,61.8,27.3,15.1
"South Wilmington village, Illinois",71370,17,643,76667,37961,5.1,25.8,118,48.7,100.0,0.0,0.5,0.6,0.0,1.4,0.0,98.6,0.0,301,226,142300,1415,588,1000,276,2.33,97.4,1.3,87.7,77.9,90.1,10.8,9.7,1.1,58.2,46.2,35.4,7.6
"Sparland village, Illinois",71422,17,390,42045,24163,5.6,23.3,80,46.4,98.2,2.1,0.3,0.0,0.0,2.3,4.6,93.1,0.8,207,152,81300,964,358,859,182,2.14,78.4,7.6,81.9,74.2,85.3,12.3,16.0,9.5,62.3,58.3,33.1,16.9
"Sparta city, Illinois",71448,17,4008,57375,35928,4.3,19.8,733,47.3,76.0,25.2,0.7,0.3,0.0,2.3,2.2,72.1,3.7,2107,1090,103700,1119,452,743,1800,2.16,89.8,5.8,93.2,86.6,92.2,25.9,10.9,11.1,65.6,55.7,34.1,8.2
"Spaulding village, Illinois",71474,17,927,104904,47205,1.6,14.2,216,50.2,98.6,0.0,0.5,0.3,0.0,0.9,1.4,96.3,0.3,409,360,183900,1468,602,587,385,2.41,95.3,2.4,98.4,92.2,87.8,30.9,12.6,1.8,65.3,65.8,18.0,3.1
"Spillertown village, Illinois",71526,17,249,53750,52370,8.0,23.3,33,57.0,85.5,4.0,0.0,8.4,0.0,2.4,22.9,64.7,12.0,151,109,99400,1023,437,738,130,1.92,76.9,8.3,90.0,86.9,87.6,30.9,15.8,13.7,72.3,76.6,23.9,25.3
"Spring Bay village, Illinois",71604,17,438,39792,23813,0.9,16.2,108,44.7,98.6,0.7,1.4,0.7,0.0,1.4,0.0,97.3,0.7,200,132,117100,975,481,986,187,2.34,91.9,0.5,93.6,86.6,95.1,8.2,23.9,4.8,50.4,42.8,23.6,17.2
"Springerton village, Illinois",71643,17,90,51250,26161,2.2,14.4,10,42.2,97.8,0.0,0.0,1.1,5.6,4.4,0.0,93.3,0.0,37,30,45000,1375,463,733,36,2.50,95.6,2.3,77.8,72.2,86.6,9.0,16.4,3.3,58.8,58.3,32.1,8.9
"Springfield city, Illinois",72000,17,114672,57596,35851,6.1,22.2,20314,52.1,75.8,22.6,0.9,3.8,0.2,4.6,2.9,70.4,4.4,56712,31706,132900,1236,557,852,50961,2.18,83.8,6.0,90.4,81.2,91.3,34.4,13.0,4.3,60.6,57.3,17.5,18.5
"Spring Grove village, Illinois",72052,17,5713,131735,50714,8.6,27.0,546,46.8,95.5,0.8,1.4,6.8,0.0,7.3,5.5,85.2,2.8,1772,1727,321200,2412,1091,2226,1772,3.22,94.3,2.3,98.4,97.6,98.3,40.0,3.9,8.7,72.1,68.6,33.5,1.2
"Spring Valley city, Illinois",72156,17,5551,54191,28089,4.0,20.3,1179,50.7,86.5,2.0,1.3,0.1,0.0,2.3,21.7,74.5,5.5,2543,1408,100400,1233,553,648,2365,2.28,87.3,14.2,88.2,82.7,86.2,15.2,16.7,7.9,59.6,58.3,22.7,12.8
"Standard village, Illinois",72221,17,279,42344,37264,8.6,25.8,70,47.0,96.8,0.0,1.1,0.7,0.0,1.1,9.0,89.2,1.8,162,106,87800,900,468,563,135,2.07,89.1,7.5,78.5,60.0,89.9,18.2,12.8,4.7,59.0,56.6,29.2,11.8
"Stanford village, Illinois",72260,17,602,63750,28534,8.6,26.4,38,40.9,100.0,1.5,0.0,0.0,0.0,5.3,2.3,93.2,0.8,285,198,92300,1115,452,750,232,2.59,96.5,0.7,94.8,88.8,93.3,11.3,12.8,2.2,77.1,78.9,21.9,14.0
"Staunton city, Illinois",72403,17,4649,54659,29163,3.0,19.9,861,53.3,98.6,0.2,0.8,2.1,0.0,2.5,0.3,96.0,1.9,2191,1395,102900,960,449,761,1998,2.29,92.6,1.9,91.0,89.3,96.7,16.9,13.7,4.4,60.1,54.6,28.7,17.1
"Steeleville village, Illinois",72468,17,1807,48750,29547,2.3,21.7,425,52.4,94.5,3.2,0.8,0.0,0.0,1.3,3.5,92.5,2.8,914,516,131800,840,441,702,791,2.28,79.3,3.5,91.0,88.9,89.9,12.7,15.8,4.5,61.0,52.4,19.6,12.9
"Steger village, Illinois",72520,17,9568,53427,27204,5.9,23.2,1774,46.0,76.1,14.3,0.4,1.3,0.3,4.8,20.8,63.8,6.2,4526,2616,108800,1350,478,906,4033,2.37,93.2,14.8,91.2,80.9,88.5,16.2,9.5,6.9,61.5,57.6,33.0,13.1
"Sterling city, Illinois",72546,17,14919,47778,28895,4.2,20.2,3052,48.5,92.6,6.0,1.8,2.2,0.2,7.9,26.0,67.1,5.0,7221,3956,92100,995,439,727,6467,2.24,87.8,12.3,87.5,80.7,90.1,15.1,12.0,6.9,62.1,59.7,17.5,15.2
"Steward village, Illinois",72624,17,313,85000,34909,1.3,16.9,41,50.2,96.8,2.6,0.6,0.6,0.0,0.6,0.0,96.2,1.0,118,100,126000,1213,475,788,110,2.85,95.5,1.3,93.6,92.7,90.6,26.9,11.0,15.7,80.4,77.9,27.9,4.8
"Stewardson village, Illinois",72650,17,736,58750,26833,6.1,25.3,172,51.1,99.2,0.0,0.7,0.8,0.0,0.7,0.0,98.5,1.0,330,251,94000,957,433,758,304,2.42,94.9,1.3,89.5,83.2,91.9,17.0,16.1,1.5,59.4,56.4,22.9,9.0
"Stickney village, Illinois",72676,17,7074,61507,28298,4.6,28.0,1082,44.3,63.4,2.8,2.5,0.8,0.0,14.2,64.0,34.3,20.2,2579,1967,195200,1590,714,1031,2397,2.93,85.8,50.8,90.2,85.1,82.9,14.5,14.9,4.4,61.8,47.2,28.1,8.6
"Stillman Valley village, Illinois",72702,17,1277,74773,28923,9.5,31.3,209,53.3,93.1,6.7,3.7,0.2,0.0,5.3,5.2,86.5,0.6,459,348,148600,1370,620,1104,416,3.07,66.4,0.4,97.4,91.3,97.0,32.3,6.7,0.7,65.7,53.7,22.8,10.7
"Stockton village, Illinois",72780,17,1778,48221,28026,3.4,24.2,348,53.3,97.4,2.4,0.5,0.7,0.0,3.5,3.5,93.6,0.7,823,599,80700,894,464,706,809,2.12,89.0,2.0,91.7,87.8,93.3,12.9,15.8,3.7,64.5,59.8,17.7,14.5
"Stonefort village, Illinois",72884,17,389,37857,20290,0.5,23.9,102,56.8,99.2,0.0,0.8,0.0,0.0,1.0,0.8,99.0,0.0,164,84,63600,770,280,718,140,2.78,95.1,0.0,78.6,63.6,88.8,2.6,13.4,4.6,48.1,32.6,27.3,8.0
"Stone Park village, Illinois",72923,17,4611,68268,21190,6.5,28.1,234,48.0,51.4,3.5,1.1,1.3,0.0,15.2,90.1,5.1,39.4,1417,654,191700,1718,908,1064,1307,3.53,97.9,80.1,91.0,86.4,56.9,3.5,7.9,29.7,68.5,68.0,20.3,15.7
"Stonington village, Illinois",72949,17,737,52500,28983,3.0,13.8,165,48.6,98.4,0.0,0.8,1.6,0.0,1.4,0.5,97.0,0.8,374,239,90200,939,447,779,324,2.27,92.7,1.7,91.7,79.9,92.7,22.0,19.1,7.1,58.3,51.1,23.4,10.6
"Strasburg village, Illinois",73040,17,529,63281,27859,5.1,23.1,105,56.0,100.0,0.0,0.4,0.0,0.0,2.6,0.6,96.8,0.0,234,183,84100,942,343,808,213,2.48,92.6,2.0,85.9,81.2,100.0,17.9,11.3,3.0,68.5,60.2,28.6,1.1
"Streamwood village, Illinois",73157,17,39736,88824,32872,4.7,23.6,5563,50.8,69.0,8.2,0.8,14.4,0.3,14.2,37.9,40.0,29.8,13346,11003,216400,1742,756,1704,12872,3.07,89.5,50.1,97.7,95.2,88.0,27.2,4.7,12.6,69.2,64.1,28.8,7.8
"Streator city, Illinois",73170,17,12135,43053,28665,5.4,18.7,2494,50.8,88.8,4.4,0.3,1.9,0.0,4.5,14.0,79.1,4.5,6142,3428,69200,965,382,691,5733,2.08,87.1,10.6,87.8,80.8,84.8,13.4,14.8,4.2,62.1,56.1,24.6,22.1
"Stronghurst village, Illinois",73261,17,988,58889,22719,10.2,31.8,199,57.5,99.8,1.4,1.6,0.0,0.0,2.8,1.2,95.9,0.3,403,232,95300,1031,440,673,342,2.78,94.8,0.6,88.3,81.9,90.3,17.2,12.3,0.9,63.1,58.6,25.8,2.0
"Sublette village, Illinois",73287,17,360,65250,36514,4.2,16.9,93,46.9,96.9,2.5,3.6,0.0,0.0,8.6,10.3,86.4,2.2,190,119,132700,1080,517,642,155,2.32,86.6,11.6,88.4,81.9,92.1,13.6,12.6,2.5,61.8,54.6,29.7,9.3
"Sugar Grove village, Illinois",73391,17,9266,109331,52931,4.6,23.9,1791,47.1,85.0,7.8,3.7,7.4,0.0,5.3,12.1,73.5,9.1,3393,3190,294600,2394,948,1582,3322,2.79,94.0,17.0,94.7,96.7,94.0,41.3,3.0,2.6,65.8,59.5,29.5,2.8
"Sullivan city, Illinois",73495,17,4532,59014,28215,6.0,26.5,818,53.0,97.7,2.2,0.3,0.3,0.0,1.9,1.4,95.4,1.1,1910,1325,87500,971,490,801,1760,2.46,87.7,1.8,93.5,87.3,90.6,19.9,13.5,5.6,60.6,51.9,19.4,11.6
"Summerfield village, Illinois",73547,17,339,44125,27146,3.8,15.6,41,53.1,99.4,0.0,0.3,0.0,0.0,2.1,8.6,91.2,0.6,177,129,63900,932,377,840,161,2.11,79.6,4.9,94.4,87.0,81.3,10.9,18.0,12.1,70.8,62.3,28.0,20.6
"Summit village, Illinois",73638,17,11098,48929,21469,7.1,27.5,1452,50.0,61.8,8.9,0.8,3.4,0.0,10.4,75.2,11.3,40.3,3741,1932,192800,1502,743,919,3416,3.24,92.4,72.0,89.9,81.1,63.8,11.8,9.6,22.0,58.7,49.2,32.4,13.8
"Sumner city, Illinois",73703,17,2851,39554,7238,3.3,8.3,159,14.4,53.3,42.7,0.5,0.4,0.0,1.5,13.7,43.4,7.3,340,189,50400,805,353,630,271,2.69,75.7,14.9,92.3,86.7,61.6,4.2,22.6,8.6,12.5,63.7,22.7,30.8
"Sun River Terrace village, Illinois",73943,17,520,48462,17820,7.3,34.2,68,49.8,12.1,84.8,2.5,0.8,0.0,1.5,6.2,6.9,3.5,199,71,96100,1024,575,950,162,3.21,95.6,9.5,97.5,83.3,90.0,18.3,12.0,7.5,52.9,52.4,23.9,29.0
"Swansea village, Illinois",74119,17,15037,80331,43541,6.5,23.3,2439,51.3,74.6,24.8,0.5,4.1,0.0,5.3,3.0,68.1,5.7,6045,4270,170200,1527,669,1070,5675,2.61,88.1,5.9,96.3,92.4,96.0,44.6,5.6,5.3,68.3,65.9,23.6,7.3
"Sycamore city, Illinois",74223,17,18144,73475,35796,5.7,25.0,2396,54.5,93.0,4.3,0.4,2.1,0.0,3.0,7.8,86.5,5.4,7633,4871,213900,1834,760,948,7328,2.45,86.2,7.7,97.0,94.5,96.2,43.7,9.1,3.6,69.6,68.6,26.2,9.5
"Table Grove village, Illinois",74301,17,295,43214,23799,4.1,23.4,57,54.6,99.0,2.0,1.0,0.3,0.0,2.4,2.0,94.9,0.3,157,108,70800,867,400,658,138,2.14,87.8,0.7,85.5,81.2,95.9,15.5,15.4,4.7,66.2,63.9,26.3,29.8
"Tallula village, Illinois",74379,17,578,54432,30980,2.2,23.5,123,42.9,100.0,1.4,0.0,0.0,0.0,1.4,0.7,97.9,0.3,273,207,80200,1125,424,690,241,2.40,95.7,0.4,84.6,81.3,96.7,14.6,20.1,5.0,62.6,61.6,26.6,1.9
