Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Kingston village, Illinois",40065,17,1312,81875,34452,5.1,25.0,174,52.0,94.1,4.7,1.4,0.0,4.5,8.1,13.0,78.1,1.9,519,413,172000,1684,579,775,502,2.60,92.8,9.3,93.8,89.0,92.0,14.2,12.0,7.6,75.5,72.1,33.0,5.4
"Kingston Mines village, Illinois",40091,17,225,50625,27411,8.9,24.0,38,53.8,99.6,0.0,0.0,0.0,0.0,3.6,5.3,94.7,0.9,111,83,70800,939,392,700,99,2.27,90.4,1.5,90.9,74.7,85.8,13.6,15.8,0.0,49.2,44.0,20.4,17.3
"Kinmundy city, Illinois",40117,17,749,26164,21827,4.8,16.2,195,57.8,99.6,0.0,0.1,0.0,0.0,1.2,2.8,97.1,0.8,439,289,58500,835,407,607,395,1.90,92.3,2.1,84.3,83.5,84.6,5.5,31.0,7.9,54.7,55.4,23.1,26.4
"Kirkland village, Illinois",40156,17,1592,77321,28645,3.5,27.9,197,52.0,97.0,3.6,0.2,0.4,0.0,5.3,6.3,89.3,0.8,612,395,159000,1568,650,1234,571,2.79,89.4,3.5,93.7,88.3,93.0,22.1,12.1,3.2,69.8,65.9,30.8,10.1
"Kirkwood village, Illinois",40182,17,673,60250,35389,4.9,22.9,137,45.8,98.2,0.0,0.3,0.0,0.0,0.3,2.7,97.0,0.0,308,252,78500,975,443,625,281,2.40,90.5,2.5,86.1,79.7,89.5,10.3,9.8,4.0,62.4,61.0,21.4,8.8
"Knollwood CDP, Illinois",40364,17,1719,123523,41030,7.2,36.8,333,53.8,96.6,1.6,0.5,1.3,0.0,1.1,15.1,82.0,3.7,633,348,336700,2563,841,2163,545,3.01,84.3,8.2,100.0,98.9,96.5,50.3,1.8,3.3,49.5,40.2,24.1,4.5
"Knoxville city, Illinois",40416,17,3258,67750,28289,7.1,25.2,731,54.8,99.4,2.0,0.0,1.0,0.6,2.5,2.9,94.1,0.2,1291,991,109600,1101,458,664,1195,2.58,94.4,1.1,92.0,83.8,96.9,23.7,6.9,2.7,59.2,54.7,20.3,5.8
"Lacon city, Illinois",40559,17,1794,54934,30824,5.6,20.2,466,48.6,96.4,1.7,0.2,0.1,0.0,0.0,2.0,95.4,0.0,810,544,97800,1076,468,789,688,2.46,92.6,0.7,85.0,75.3,94.5,14.9,7.2,6.2,47.6,45.9,35.6,12.9
"Ladd village, Illinois",40598,17,1285,61319,30868,6.0,24.3,155,53.2,96.3,0.4,0.2,0.4,0.0,3.0,9.0,90.0,2.5,577,423,104600,1185,556,775,513,2.50,96.7,5.4,90.8,86.7,89.5,16.4,5.4,4.4,71.9,64.3,15.8,10.0
"La Grange village, Illinois",40767,17,16220,124292,62827,6.7,30.1,2616,52.0,90.4,6.3,0.3,3.2,0.0,6.0,10.3,80.9,5.4,5949,4660,514700,3195,1122,1363,5705,2.76,89.2,10.6,96.0,93.2,96.5,62.1,4.9,3.1,65.3,61.7,32.8,3.7
"La Grange Park village, Illinois",40793,17,13501,102034,51178,7.4,27.8,2557,52.4,89.2,5.4,0.4,3.2,0.1,4.0,13.1,77.5,7.6,5614,3795,370900,2560,911,1249,5161,2.56,89.4,12.8,94.1,90.8,95.8,60.5,8.4,2.5,62.2,58.3,31.0,5.6
"La Harpe city, Illinois",40832,17,1300,42750,26409,7.5,20.8,333,52.0,97.8,3.1,0.0,0.0,0.0,3.4,3.4,93.2,0.1,616,504,72300,806,351,439,576,2.20,91.5,1.0,72.4,67.9,86.7,16.1,14.0,2.3,59.2,58.5,28.7,12.8
"Lake Barrington village, Illinois",40884,17,5557,108563,67154,3.1,17.2,1820,50.7,95.6,1.4,0.6,4.0,0.0,3.2,2.0,91.0,10.7,2598,2158,380500,2797,1303,1764,2459,2.25,90.5,8.5,93.4,89.7,98.8,66.0,3.0,1.2,51.4,43.5,35.3,6.2
"Lake Bluff village, Illinois",40910,17,5878,173667,95616,6.0,24.9,1169,54.1,90.8,0.4,1.2,7.2,0.0,5.6,7.5,84.2,12.2,2244,1953,660500,3659,1380,2710,2150,2.73,87.8,15.3,100.0,96.0,98.5,78.6,6.9,2.1,58.8,50.0,29.3,2.8
"Lake Catherine CDP, Illinois",40988,17,1328,81364,45067,2.7,15.7,290,50.0,97.8,2.8,0.9,1.9,0.0,4.8,2.2,92.2,2.0,755,407,202600,1699,903,958,602,2.20,83.9,2.8,93.2,93.5,94.0,28.5,4.8,7.3,65.0,58.7,29.8,4.2
"Lake Forest city, Illinois",41105,17,19450,194267,99558,3.8,20.2,4763,51.5,89.4,3.0,1.0,8.0,0.1,4.7,5.2,82.1,12.4,7662,6081,812900,4001,1501,1882,7014,2.61,82.1,14.3,97.4,96.2,99.1,81.0,7.5,2.0,54.4,46.2,34.4,3.1
